compra_renta,tipo,precio,superficie,municipio
Venta,DEPARTAMENTO EN VENTA EN PESQUERIA PASEO SAN JAVIER PLANTA ALTA,"$370,000",1 m²,N.L.
Venta,CASA EN VENTA EN ESCOBEDO EN ANAHUAC LA PERGOLA CON EXCEDENTE Y EQUIPADA,"$5,100,000",267 m²,N.L.
Venta,CASA EN VENTA EN GUADALUPE RAFAEL RAMIREZ 4 RECAMARAS,"$1,550,000",189 m²,Rafael Ramírez (U.c.)
Venta,CASA EN VENTA EN JUAREZ EN PRIVADA LOS CYRANOS EN NUEVO LEON CON EXCEDENTE,"$690,000",124 m²,Mirador
Venta,"Venta Casa en Cumbres Santoral, García","$3,900,000",161 m²,N.L.
Venta,"Departamentos en Venta en ARIA en Monterrey, Nuevo León","$1,887,420",38-92 m²,"Centro, Calzada Madero, Esq. con Emilio Carranza, Centro, 64000 Monterrey, N.L"
Venta,"Departamentos en Preventa en Vía Cuatro Seis, Monterrey, Nuevo León","$1,980,000",50-90 m²,"Guadalupe, Miguel Alemán 4450, Guadalupe, Nuevo León, México."
Venta,"Casas en Venta en Rincón de Foret en Saltillo, Coahuila","$2,409,799",203-256 m²,"Eulalio Gutiérrez Treviño, Bosques de Chinón 114, Rincón de Foret, 25085 Saltillo, Coah."
Venta,"Casas en Venta en Residencial Las Misiones, Saltillo, Coahuila","$3,280,000",210-230 m²,"Sin Nombre de Col 18, Blvd. La Misión S/N, Sin Nombre de Col 18, 25070 Saltillo, Coahuila"
Venta,"DEPARTAMENTO EN VENTA EN TORRE ICONOS,  MONTERREY, N.L.","$4,000,000",,Jardín Español
Venta,CASA EN VENTA EN MONTERREY NL ZONA COLINAS DE SAN JERONIMO / 3 NIVELES /,"$10,500,000",432 m²,Colinas de San Jerónimo 1o. Sector
Venta,"Venta de Casa en Carretera Nacional, Sierra Alta","$22,000,000",645 m²,Monterrey
Venta,"Casa Nueva Super Equipada en Cumbres Elite Premier, García","$5,300,000",144 m²,Sarabia
Venta,"Residencia en Venta Santoral III, García","$4,700,000",144 m²,N.L.
Venta,"Fabulosa Casa en Venta en Cumbres Élite Premier en Pirineos, García","$4,950,000",146 m²,N.L.
Venta,"Casa en Venta Cumbres Santoral 2, García, Nuevo León","$4,390,000",152 m²,N.L.
Venta,"Casa en Venta Thessalia a 3 min Carretera Nacional, Monterrey","$5,780,000",160 m²,Pedregal La Silla
Venta,"Casa Nueva Venta Cumbres Santoral Habitación Planta Baja, García","$4,390,000",152 m²,N.L.
Venta,"Casa en Venta Nueva Equipada en Santoral, , García","$4,150,000",152 m²,N.L.
Venta,"Estrena Casa en Venta Santoral con Gran Diseño , García","$4,100,000",152 m²,N.L.
Venta,"Casa en Venta en Cumbres Santoral Amplia y Acogedora, García","$4,050,000",170 m²,N.L.
Venta,"Casa en Venta Cumbres Elite Premier Nueva, de Lujo, Equipada en Garcia","$5,100,000",144 m²,N.L.
Venta,Hermosa Casa en Venta en Cumbres Santoral en García,"$4,050,000",170 m²,N.L.
Venta,"Estrena Casa Nueva de 4 Niveles en Cumbres Élite Premier, García","$4,686,500",145 m²,N.L.
Venta,"Super Oportunidad Casa en Venta en Cumbres Élite Premier, García","$5,100,000",145 m²,N.L.
