compra_renta,tipo,precio,superficie,municipio,recamaras,banios,publicado,sitio
Venta,VENTA de DEPARTAMENTO Tipo LOFT en Colonia BUROCRATAS DEL ESTADO MONTERREY Nuevo Leon,"$1,950,000",30 m²,Burócratas del Estado,1,1
Venta,DEPARTAMENTO EN VENTA EN NUEVO SUR GAETA NORTE MTY NL,"$4,950,000",,Ladrillera,2,2
Venta,Departamento en VENTA Cerca valle Poniente Monterrey,"$4,640,000",,Miguel Hidalgo,2,2
Venta,CATEHUA DEPARTAMENTO VENTA AV UNIVERSIDAD,"$3,200,000",70 m²,Regina,2,2
Venta,Departamento en VENTA planta baja con jardin GAIA carr nacional Monterrey,"$4,400,000",,Granja Postal,6+,
Venta,Departamento en VENTA Vista Hermosa Monterrey,"$4,430,000",,Vista Hermosa,3,2
Venta,Departamento en VENTA torre KOI Valle Oriente san Pedro Monterrey,"$13,450,000",,Santa Fe,2,2
Venta,Hermoso Departamento Zona Valle Oriente Av. Fundadores,"$7,250,000",,Colonia Miguel Hidalgo,3,2
Venta,DEPARTAMENTOS EN VENTA EN EL CENTRO DE MONTERREY NL,"$1,504,740",,Centro,1,1
Venta,"Departamento en venta en Residencial Dinastía, Monterrey, Nuevo León.","$5,450,000",,Dinastía,2,2
Venta,Departamento en Venta Valle Poniente,"$4,950,000",,Zona Valle Poniente,2,2
Venta,DEPARTAMENTO EN VENTA EN CAMINO REAL FOVISSTE EN GUADALUPE,"$1,050,000",,Camino Real Fovissste,3,1
Venta,Departamento - La Banda,"$4,400,000",,Santa Catarina,2,2
Venta,Departamento en Venta en Ex Hacienda San Jose en Garcia NL,"$440,000",75 m²,N.L.,2,1
Venta,"Preventa de departamento en el Barrio Antiguo, Monterrey NL, 1 recámara - lock off, 1 baño","$4,873,502",90 m²,Barrio Antiguo,2,2
Venta,"Preventa de departamento en el Barrio Antiguo, Monterrey NL, 1 recámara 1 baño","$3,981,514",75 m²,Barrio Antiguo,1,1
Venta,"Departamento en Preventa Col. Mirador, Centro Monterrey, Nuevo León, 1 recámara. 1 baño","$4,650,340",59 m²,Mirador,1,1
Venta,Venta de Departamentos West Zona Sta Catarina,"$8,210,000",,Cordillera,2,2
Venta,Venta de Departamentos F1RST Vista Hermosa,"$5,180,000",,Vista Hermosa,2,2
Venta,"Departamentos en Venta en ARIA en Monterrey, Nuevo León","$1,928,863",38-76 m²,"Centro, Calzada Madero, Esq. con Emilio Carranza, Centro, 64000 Monterrey, N.L",1-3,
Venta,"Departamentos en Preventa en Vía Cuatro Seis, Monterrey, Nuevo León","$1,980,000",50-90 m²,"Guadalupe, Miguel Alemán 4450, Guadalupe, Nuevo León, México.",1-2,
Venta,PENTHOUSE EN VENTA EN VALLE PONIENTE,"$13,920,000",,Protexa Industrial,6+,
Venta,DEPARTAMENTO EN VENTA EN VISTA HERMOSA MONTERREY,"$7,150,000",,Sin Nombre de Col 31,3,2
Venta,RESIDENCIAS EN VENTA EN VALLE PONIENTE,"$13,920,000",,Protexa Industrial,6+,
Venta,Departamentos en Venta. ENTREGA INMEDIATA,"$4,640,000",,Santa Catarina,2,2
