compra_renta,tipo,precio,superficie,municipio
Venta,"Departamentos en Venta en ARIA en Monterrey, Nuevo León","$1,928,863",38-76 m²,"Centro, Calzada Madero, Esq. con Emilio Carranza, Centro, 64000 Monterrey, N.L"
Venta,"Casas en Venta en Residencial Las Misiones, Saltillo, Coahuila","$3,280,000",210-230 m²,"Sin Nombre de Col 18, Blvd. La Misión S/N, Sin Nombre de Col 18, 25070 Saltillo, Coahuila"
Venta,"Casas en Venta en Rincón de Foret en Saltillo, Coahuila","$2,409,799",203-256 m²,"Eulalio Gutiérrez Treviño, Bosques de Chinón 114, Rincón de Foret, 25085 Saltillo, Coah."
Venta,CASA EN VENTA EN JUAREZ NL ZONA URBI VILLA DEL REAL,"$430,000",90 m²,Villa Juárez
Venta,COLONIA LADRILLERA AL SUR DE MONTERREY NUEVO LEON,"$3,600,000",351 m²,Lth
Venta,"CASA INDIVIDUAL EN VENTA $490,000 VALLE DEL ROBLE","$490,000",90 m²,Valle del Roble
Venta,MURIEL RESIDENCIAL  (Escobedo NL av acueducto),"$1,848,000",105 m²,Quinto Centenario
Venta,MISION DE LOS ANGELES (Apodaca),"$2,400,000",105 m²,N.L.
Venta,VALLE CONDESA SECTOR BRITANIA (Juarez NL),"$1,200,000",100 m²,N.L.
Venta,LADERAS DE LA SILLA (Juarez Nuevo Leon),"$800,000",100 m²,Fraccionamiento Arcadia
Venta,CASA VENTA CASTANOS DEL VERGEL CARRETERA NACIONAL EN MONTERREY CERCA DEL URO,"$7,790,000",251 m²,Sin Nombre de Col 51
Venta,CASA VENTA EN BUENOS AIRES EN MONTERREY  ESQUINA CON REVOLUCION Y CHAPULTEPEC,"$3,050,000",218 m²,Buenos Aires
Venta,CASA VENTA LA JOYA EN CARRETERA NACIONAL EN MONTERREY,"$10,300,000",290 m²,La Joya Privada Residencial
Venta,CASA VENTA CASTANOS DEL VERGEL  CARRETERA NACIONAL EN MONTERREY CERCA URO,"$8,190,000",251 m²,Sin Nombre de Col 51
Venta,DEPARTAMENTO VENTA EN TORRE MUN SAN PEDRO GARZA GARCIA CERCA DE MORONES,"$4,200,000",,Zona Loma Blanca
Venta,PREVENTA DEPARTAMENTO GAIA TORRE 2 EN MONTERREY CARRETERA NACIONAL,"$3,647,285",,Monterrey
