compra_renta,tipo,precio,superficie,municipio,recamaras,banios,publicado,sitio
Venta,Casa - Valle Alto,"$12,000,000",,Valle Alto,3,
Venta,Hermosa Casa en Venta Valle de San Angel,"$85,000,000",2103 m²,Valle de San Angel Sector Francés,6+,
Venta,"Casa en Venta en el Alamo, Santiago, Nuevo León","$4,990,000",300 m²,Santiago,4,4+
Venta,"Casa en Venta en el Centro , Monterrey","$3,990,000",417 m²,Centro,3,2
Venta,Hermosa casa en Contry la Silla,"$15,500,000",452 m²,Contry La Silla 1er Sector,3,4+
Venta,"CASA VENTA EN LA COLONIA FRANCISCO VILLA, MONTERREY","$800,000",137 m²,Francisco Villa,3,2
Venta,Casa en Barrio Estrella Elite,"$2,240,000",90 m²,Barrio Estrella,3,3
Venta,Venta de Preciosa casa en Rinconada Colonial,"$3,420,000",124 m²,N.L.,3,4+
Venta,"CASA EN VENTA $610,000 PASEO DEL PRADO, JUAREZ, N.L-.","$610,000",90 m²,Paseo del Prado,2,1
Venta,"CASA INDIVIDUAL EN VENTA $490,000 VALLE DEL ROBLE","$490,000",90 m²,Valle del Roble,2,1
Venta,QUINTA en VENTA ubicada en la colonia Los Fierros en Santiago NL,"$5,900,000",1556 m²,Piedra de Fierro,2,1
Venta,Casa en VENTA a estrenar priv Altares  carr nacional Monterrey,"$4,750,000",200 m²,Los Cavazos,3,4+
Venta,Casa en VENTA a estrenar fracc priv castaños del vergel carr nacional Monterrey,"$7,690,000",251 m²,Sin Nombre de Col 51,3,3
Venta,COLONIA LADRILLERA AL SUR DE MONTERREY NUEVO LEON,"$3,600,000",351 m²,Lth,4,3
Venta,ARBADO SECTOR MONARCA APODACA,"$4,490,000",210 m²,N.L.,3,3
Venta,"PRO5261 Casas en Venta, Balcones del Valle en San Pedro Garza Garcia","$19,000,000",695 m²,Balcones del Valle,4,4+
Venta,Casas Venta San Pedro Garza García Zona Valle 27-CV-4500,"$29,900,000",500 m²,Del Valle,3,4+
Venta,CASA EN VENTA EN ESQUINA EN HACIENDA REAL EN JUAREZ NUEVO LEON,"$780,000",121 m²,N.L.,2,1
Venta,"PRO5316 Casas en Venta, Contry Las Aguilas en Guadalupe","$12,100,000",506 m²,Contry Las Águilas,3,4+
Venta,"PRO5340 Casas en Venta, La Joya en Monterrey","$14,300,000",468 m²,Sin Nombre de Col 51,4,4+
Venta,"Casas en Venta en Residencial Las Misiones, Saltillo, Coahuila","$3,280,000",210-230 m²,"Sin Nombre de Col 18, Blvd. La Misión S/N, Sin Nombre de Col 18, 25070 Saltillo, Coahuila",3,
Venta,"Casas en Venta en Rincón de Foret en Saltillo, Coahuila","$2,409,799",203-256 m²,"Eulalio Gutiérrez Treviño, Bosques de Chinón 114, Rincón de Foret, 25085 Saltillo, Coah.",2-3,
Venta,"Residencia en Venta Santoral III, García","$4,700,000",144 m²,N.L.,4,4+
Venta,Hermosa Casa en Contry la Silla,"$15,500,000",452 m²,Contry La Silla 1er Sector,5,4+
Venta,"CARRETERA NAL CASA EN VENTA CON VISTAS 4 RECAMARAS, EL URO LADERAS DE ABEDUL MTY","$9,500,000",276 m²,Monterrey,4,4+
Venta,"PRO5326 Casas en Venta, Las Brisas en Monterrey","$6,680,000",225 m²,Las Brisas 8o. Sector,4,3
Venta,AMPLIA CASA EN VENTA EN COL. AÑO DE JUAREZ EN SAN NICOLAS,"$1,900,000",160 m²,Año de Juárez,2,1
Venta,"PRO5350 Casas en Venta, Amorada en Santiago","$6,700,000",250 m²,Los Rodríguez,3,3
Venta,"PRO5348 Casas en Venta, Satelite Acueducto en Monterrey","$6,100,000",172 m²,Cd Satélite,3,4+
Venta,"PRO5353 Casas en Venta, Las Torres en Monterrey","$7,200,000",298 m²,Las Torres,6+,4+
Venta,CASA EN ESQUINA EN VENTA EN MISION SAN JOSE EN APODACA,"$1,790,000",110 m²,Misión San José 1er Sector,3,2
Venta,Casa - Cumbres,"$3,245,000",152 m²,Cumbres 5o. Sector Secc D,3,2
Venta,Casa - Residencial Santuario,"$3,280,000",130 m²,N.L.,3,3
Venta,Casa - Lomas Del Valle,"$15,950,000",344 m²,Lomas del Valle,3,3
Venta,Casa - Apodaca,"$1,600,000",105 m²,Real Hacienda de Huinala,3,2
Venta,Casa - Centro,"$3,600,000",112 m²,Alfonso Martínez Domínguez (FOMERREY-32),3,2
